epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,30126.6,2.0304,2.35474,1.98564,0.15139,0.17976,0.08824,0.02819,2.18573,2.70382,2.2507,0.0050995,0.0050995,0.0050995
101,30221.9,2.04222,2.37751,1.9998,0.15052,0.17912,0.08824,0.02827,2.18631,2.70272,2.25161,0.00505,0.00505,0.00505
102,30316.7,2.03264,2.38245,1.9884,0.15102,0.17857,0.08842,0.02832,2.18684,2.70118,2.25221,0.0050005,0.0050005,0.0050005
103,30413.2,2.03751,2.38295,2.00401,0.1514,0.17794,0.08808,0.02829,2.18821,2.69982,2.25361,0.004951,0.004951,0.004951
104,30509.4,2.03889,2.38175,1.99223,0.14609,0.18706,0.08812,0.02838,2.18803,2.69851,2.25341,0.0049015,0.0049015,0.0049015
105,30605.6,2.02723,2.38356,1.99617,0.14645,0.1873,0.08874,0.02842,2.18844,2.69698,2.25387,0.004852,0.004852,0.004852
106,30701.5,2.0337,2.3777,1.99233,0.14637,0.18323,0.08823,0.02833,2.18848,2.69562,2.25442,0.0048025,0.0048025,0.0048025
107,30798.5,2.02886,2.39424,2.00577,0.14604,0.18305,0.08818,0.02836,2.1875,2.69472,2.25381,0.004753,0.004753,0.004753
108,30893.7,2.02702,2.38643,1.9934,0.14627,0.18195,0.08834,0.02842,2.18668,2.69317,2.25313,0.0047035,0.0047035,0.0047035
109,30989.2,2.02204,2.38675,1.99437,0.14118,0.19106,0.08842,0.02845,2.18641,2.69221,2.25296,0.004654,0.004654,0.004654
110,31086.5,2.01739,2.36185,1.99198,0.14577,0.18241,0.08875,0.02855,2.18629,2.69056,2.25208,0.0046045,0.0046045,0.0046045
111,31185.1,2.0257,2.37025,1.98531,0.14094,0.19108,0.08863,0.02861,2.18653,2.68948,2.25208,0.004555,0.004555,0.004555
112,31282.4,2.02974,2.37117,1.99196,0.13991,0.19254,0.0887,0.02865,2.18668,2.68887,2.2522,0.0045055,0.0045055,0.0045055
113,31380.5,2.01548,2.37149,1.9841,0.13993,0.19418,0.08863,0.02859,2.18639,2.68697,2.25132,0.004456,0.004456,0.004456
114,31477.5,2.0126,2.37398,1.9938,0.1416,0.19619,0.08911,0.02869,2.18697,2.68586,2.25239,0.0044065,0.0044065,0.0044065
115,31575.8,2.01492,2.36,1.97861,0.14135,0.19701,0.08921,0.0287,2.18708,2.68489,2.25271,0.004357,0.004357,0.004357
116,31674.3,2.02968,2.36607,1.98456,0.13593,0.20933,0.08937,0.02883,2.18752,2.68393,2.25358,0.0043075,0.0043075,0.0043075
117,31772.9,2.0145,2.35593,1.98123,0.13068,0.21763,0.08897,0.02871,2.1874,2.68278,2.25341,0.004258,0.004258,0.004258
118,31870.3,2.02486,2.37906,1.98687,0.13574,0.20987,0.08914,0.02867,2.18757,2.68213,2.25379,0.0042085,0.0042085,0.0042085
119,31967.4,2.00566,2.3718,1.98064,0.13535,0.21188,0.08928,0.02865,2.18748,2.68115,2.25347,0.004159,0.004159,0.004159
120,32064.9,2.02164,2.37577,1.99516,0.1348,0.21197,0.08929,0.02871,2.1874,2.68029,2.25354,0.0041095,0.0041095,0.0041095
121,32162.7,2.02549,2.35591,1.97269,0.13433,0.21142,0.08898,0.02866,2.18685,2.67871,2.25299,0.00406,0.00406,0.00406
122,32261,2.02526,2.34676,1.97641,0.13416,0.21295,0.08892,0.02871,2.18582,2.6772,2.25123,0.0040105,0.0040105,0.0040105
123,32360.6,2.00707,2.34822,1.98366,0.13337,0.21389,0.08871,0.02889,2.18532,2.67553,2.25056,0.003961,0.003961,0.003961
124,32458.9,2.02352,2.34146,1.97926,0.13431,0.21389,0.08876,0.02889,2.18634,2.67375,2.25202,0.0039115,0.0039115,0.0039115
